# type = Koornneef&Star-PET
# nbands = 8
# ntypes = 32
# Reference:
#  1.  Star-PET: http://sirtf.caltech.edu/SSC/tools/starpet/
#  2.  J H K are obtained from
#	Koornneef (A&A, 1983): 
#	"Near-Infrared photometry II. Intrinsic colours and the absolute calibration from 1-5 micron"
#	assuming K = Ks
# To compute the flux in a given Spitzer band, Jy=10^(-1*k_mag/2.5)*F0*(table value)
# F0 is the zero point flux for 2MASS.  Current value is 666.7
# Supergiant Stars Table:
#  SpCl   J      H    Ks   IRAC1  IRAC2  IRAC3  IRAC4  MIPS1
I   B0  2.646  1.594  1.   0.383  0.247  0.149  0.078  0.009
I   B5  2.391  1.550  1.   0.403  0.265  0.163  0.087  0.010
I   A0  2.201  1.522  1.   0.417  0.278  0.171  0.092  0.011
I   A5  2.141  1.508  1.   0.427  0.286  0.176  0.095  0.011
I   F0  2.026  1.494  1.   0.435  0.293  0.181  0.098  0.011
I   F5  1.864  1.467  1.   0.438  0.295  0.183  0.099  0.011
I   G0  1.639  1.427  1.   0.446  0.277  0.179  0.098  0.011
I   G5  1.503  1.401  1.   0.450  0.249  0.175  0.101  0.012
I   K0  1.401  1.375  1.   0.455  0.241  0.177  0.103  0.012
I   K5  0.988  1.278  1.   0.462  0.220  0.179  0.108  0.013
I   M0  0.961  1.266  1.   0.463  0.220  0.179  0.108  0.013
I   M2  0.901  1.220  1.   0.480  0.226  0.191  0.118  0.014
# Giant stars Table:
#  SpCl   J      H    Ks   IRAC1  IRAC2  IRAC3  IRAC4  MIPS1
III G5  1.408  1.381  1.   0.441  0.263  0.174  0.097  0.011
III K0  1.326  1.363  1.   0.448  0.247  0.175  0.100  0.012
III K5  0.988  1.278  1.   0.451  0.221  0.176  0.104  0.012
III M0  0.978  1.266  1.   0.461  0.221  0.181  0.108  0.013
# Main Sequence Table:
#  SpCl   J      H    Ks   IRAC1  IRAC2  IRAC3  IRAC4  MIPS1
V   O8  2.901  1.608  1.   0.378  0.242  0.145  0.076  0.008
V   B0  2.796  1.608  1.   0.379  0.244  0.147  0.077  0.008
V   B3  2.646  1.579  1.   0.394  0.257  0.156  0.083  0.009
V   B5  2.574  1.564  1.   0.400  0.263  0.161  0.086  0.010
V   B8  2.481  1.550  1.   0.406  0.269  0.165  0.088  0.010
V   A0  2.391  1.536  1.   0.416  0.277  0.170  0.092  0.010
V   A5  2.201  1.508  1.   0.422  0.279  0.171  0.092  0.010
V   F0  1.989  1.480  1.   0.429  0.285  0.175  0.094  0.011
V   F5  1.882  1.453  1.   0.432  0.282  0.175  0.094  0.011
V   G0  1.797  1.440  1.   0.436  0.276  0.174  0.094  0.011
V   G5  1.670  1.421  1.   0.436  0.271  0.174  0.094  0.011
V   K0  1.551  1.401  1.   0.438  0.260  0.174  0.096  0.011
V   K5  1.176  1.325  1.   0.453  0.251  0.185  0.105  0.012
V   M0  1.113  1.301  1.   0.471  0.272  0.209  0.121  0.015
V   M2  1.053  1.266  1.   0.483  0.278  0.218  0.127  0.016
V   M5  1.044  1.176  1.   0.488  0.289  0.223  0.130  0.016
